plant_id,plant_name,operator_name,operator_id,plant_state,reported_prime_mover,jan_2019,feb_2019,mar_2019,apr_2019,may_2019,jun_2019,jul_2019,aug_2019,sep_2019,oct_2019,nov_2019,dec_2019,jan_2020,feb_2020,mar_2020,apr_2020,may_2020,jun_2020,july_2020,aug_2020,sep_2020,oct_2020,nov_2020,dec_2020,jan_2021,feb_2021,mar_2021,apr_2021,may_2021,jun_2021,jul_2021,aug_2021,sep_2021,oct_2021,nov_2021,dec_2021,net_generation_megawatthours,net_generation_megawatthours_2020,net_generation_megawatthours_2021
90,Snake River,Nome Joint Utility Systems,13642,AK,WT,213,195,218,244,215,185,182,164,201,229,208,217,208,213,214,213,202,214,158,160,162,199,229,211,184,140,175,139,164,170,200,202,207,210,119,219,2468,2383,2130
508,Lamar Plant,City of Lamar - (CO),10633,CO,WT,859,777,849,931,799,717,823,725,956,845,858,810,1367,1099,991,970,1368,1011,1097,1042,902,953,1093,1338,1163,782,1181,1133,1050,931,964,1019,973,1069,1094,1386,9950,13232,12744
692,Medicine Bow,SRIV Partnership LLC,62042,WY,WT,1336,1323,1309,1408,1296,1168,1198,1084,1378,1336,1354,1343,2015,1747,1326,1127,1026,1072,942,787,765,1314,1936,2063,2090,1789,1387,1429,1204,999,789,1120,1097,1567,2118,2506,15534,16121,18094
944,Geneseo,City of Geneseo - (IL),7095,IL,WT,665,433,720,790,524,399,307,195,426,502,534,745,490,433,698,691,468,306,216,190,420,540,855,548,492,511,858,617,572,346,215,218,397,450,772,711,6240,5855,6159
1998,Mountain Lake,City of Mountain Lake - (MN),13048,MN,WT,265,215,270,222,241,177,157,142,247,318,279,247,250,323,321,268,231,251,170,228,240,244,288,263,213,169,261,282,233,180,146,196,217,222,286,306,2779,3077,2710
2022,Willmar,Willmar Municipal Utilities,20737,MN,WT,591,480,603,496,539,395,351,318,551,709,623,553,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,458,363,563,606,501,388,315,422,468,477,615,659,6208,NULL,5832
2024,Worthington,City of Worthington - (MN),21013,MN,WT,1251,1017,1276,1050,1140,837,742,672,1166,1502,1320,1170,879,1134,1127,941,810,881,597,799,843,858,1013,925,842,668,1036,1115,921,714,579,776,861,878,1133,1213,13144,10805,10736
6304,Kotzebue Hybrid,Kotzebue Electric Assn Inc,10451,AK,WT,154,141,158,177,156,134,132,119,146,166,151,157,348,357,357,356,338,358,264,268,270,333,382,352,229,175,218,173,204,211,249,252,258,261,148,272,1789,3983,2649
7381,Searsburg Wind Turbine,Green Mountain Power Corp,7601,VT,WT,1207,1303,1337,1238,792,728,567,540,787,1009,1251,1393,1339,1123,1096,1307,1113,550,594,722,757,795,1410,1444,1057,1060,1511,1157,995,679,561,328,574,875,1204,969,12151,12250,10970
7501,Princeton Wind Farm,Town of Princeton - (MA),15371,MA,WT,366,395,405,375,240,220,172,163,238,306,379,422,304,323,408,468,389,214,225,254,284,303,501,460,269,328,447,357,380,259,240,210,291,388,403,345,3681,4133,3919
7526,Solano Wind,Sacramento Municipal Util Dist,16534,CA,WT,20509,35506,24060,37269,65338,75846,75653,74449,44201,32476,18943,18102,13164,34872,29929,49933,55757,76627,98455,72236,55689,31909,21283,15921,24505,33700,42472,73458,87674,102251,95117,86838,60933,24577,8037,17993,522352,555775,657555
7771,Springview,Bluestem LLC,58190,NE,WT,628,534,727,733,596,507,516,423,698,776,722,707,849,893,865,837,723,910,658,782,849,867,921,913,732,520,906,975,815,615,594,778,798,890,989,1125,7568,10066,9736
7855,Moorhead Wind Turbine,City of Moorhead - (MN),12894,MN,WT,158,128,161,132,144,105,93,85,147,189,166,147,180,232,231,193,166,180,122,164,173,176,207,189,108,86,133,144,119,92,75,100,111,113,146,156,1655,2213,1383
7886,Wind Turbine,Madison Gas & Electric Co,11479,WI,WT,1701,1477,1654,1793,1263,1119,719,625,943,1455,1390,1838,1546,1806,1722,1584,1478,1090,740,780,1414,1678,2133,1572,1050,1352,1959,1337,1255,937,637,641,1168,1081,1783,1710,15977,17543,14911
7936,Nine Canyon,Energy Northwest,20160,WA,WT,8402,11080,10828,21553,22030,26748,25551,21434,18703,14379,8906,6950,27392,28123,26637,23113,22888,21781,21132,18260,14581,25524,21751,16200,14533,26909,20671,23843,21035,18420,15316,18580,17638,19350,24115,23233,196564,267382,243643
7965,Salt Valley Wind Plant,Lincoln Electric System,11018,NE,WT,196,167,227,229,186,158,161,132,218,242,225,221,207,218,211,204,176,222,160,190,207,211,224,222,169,120,209,225,188,142,137,179,184,205,228,259,2363,2451,2244
7966,Iowa Distributed Wind Generation Project,City of Algona - (IA),309,IA,WT,390,306,446,472,339,270,268,192,367,439,454,443,374,451,450,448,396,465,255,344,443,495,566,437,409,349,499,480,432,294,205,283,356,400,534,497,4386,5125,4739
7974,Chamberlain Wind Project,Basin Electric Power Coop,1307,SD,WT,130,111,150,152,123,105,107,88,144,161,149,146,68,87,91,78,76,77,58,72,79,83,91,88,48,36,67,58,48,41,39,50,47,50,52,52,1566,949,589
10191,Tehachapi Wind Resource I,CalWind Resources Inc,2719,CA,WT,549,1077,1121,1508,1879,1598,1710,1501,1236,896,477,486,772,791,1147,1547,1578,1750,1718,1464,810,883,676,664,790,1155,1351,1808,1997,1760,1430,1506,1186,906,539,736,14038,13800,15163
